name,slug,description,summary,price,originalPrice,currency,stock,inventoryStatus,serialNumber,imageUrl,thumbnailUrl,badges,tags,featured,rating,reviewCount
Premium Wireless Headphones,premium-wireless-headphones,"Immerse yourself in crystal-clear sound with our Premium Wireless Headphones. Featuring active noise cancellation, 40-hour battery life, and premium leather ear cushions for all-day comfort. Bluetooth 5.0 connectivity ensures seamless pairing with all your devices.",High-quality wireless headphones with ANC,299.99,399.99,USD,45,IN_STOCK,WH-PRE-001,https://placehold.co/800x800/2563eb/ffffff?text=Headphones,https://placehold.co/400x400/2563eb/ffffff?text=Headphones,"Bestseller,Premium Quality","electronics,audio,wireless,headphones",true,4.8,342
Ultra HD 4K Monitor,ultra-hd-4k-monitor,"Experience stunning visuals with our 32-inch Ultra HD 4K Monitor. Perfect for content creators, gamers, and professionals. Features HDR10 support, 144Hz refresh rate, and ultra-thin bezels for an immersive viewing experience.",32-inch 4K gaming and professional monitor,749.99,899.99,USD,23,IN_STOCK,MON-4K-002,https://placehold.co/800x800/10b981/ffffff?text=Monitor,https://placehold.co/400x400/10b981/ffffff?text=Monitor,"New Arrival,Gaming","electronics,monitor,4k,display,gaming",true,4.7,218
Ergonomic Office Chair,ergonomic-office-chair,"Upgrade your workspace with our premium ergonomic office chair. Features adjustable lumbar support, breathable mesh back, 4D armrests, and heavy-duty casters. Designed to provide maximum comfort during long work sessions.",Premium ergonomic chair for home office,399.99,549.99,USD,67,IN_STOCK,CHR-ERG-003,https://placehold.co/800x800/f59e0b/ffffff?text=Chair,https://placehold.co/400x400/f59e0b/ffffff?text=Chair,"Bestseller,Ergonomic","furniture,office,chair,ergonomic",true,4.9,521
Mechanical Gaming Keyboard,mechanical-gaming-keyboard,"Dominate your games with our RGB mechanical gaming keyboard. Featuring Cherry MX switches, customizable per-key RGB lighting, dedicated media controls, and aircraft-grade aluminum frame. Compatible with Windows and Mac.",RGB mechanical keyboard with Cherry MX switches,159.99,199.99,USD,89,IN_STOCK,KEY-MEC-004,https://placehold.co/800x800/8b5cf6/ffffff?text=Keyboard,https://placehold.co/400x400/8b5cf6/ffffff?text=Keyboard,"Gaming,RGB","electronics,gaming,keyboard,rgb,peripherals",false,4.6,445
Stainless Steel Water Bottle,stainless-steel-water-bottle,"Stay hydrated in style with our premium vacuum-insulated water bottle. Keeps drinks cold for 24 hours or hot for 12 hours. Made from food-grade 18/8 stainless steel, BPA-free, and features a leak-proof lid. Available in 6 colors.",Insulated 32oz water bottle keeps drinks cold/hot,34.99,44.99,USD,234,IN_STOCK,BOT-SS-005,https://placehold.co/800x800/06b6d4/ffffff?text=Bottle,https://placehold.co/400x400/06b6d4/ffffff?text=Bottle,"Eco-Friendly,Bestseller","lifestyle,bottle,hydration,eco-friendly",true,4.8,892
Wireless Charging Pad,wireless-charging-pad,"Fast wireless charging for all Qi-enabled devices. Sleek aluminum design with LED indicator, overcharge protection, and non-slip surface. Charges through most phone cases up to 3mm thick. Includes USB-C cable.",10W fast wireless charger with aluminum design,29.99,39.99,USD,156,IN_STOCK,CHG-WRL-006,https://placehold.co/800x800/ec4899/ffffff?text=Charger,https://placehold.co/400x400/ec4899/ffffff?text=Charger,"Tech,Fast Charging","electronics,charging,wireless,accessories",false,4.5,267
Smart Fitness Watch,smart-fitness-watch,"Track your health and fitness goals with our advanced smart watch. Features heart rate monitoring, sleep tracking, 20+ sport modes, GPS, and 7-day battery life. Water-resistant up to 50m. Syncs with iOS and Android.",Fitness smartwatch with heart rate and GPS,249.99,329.99,USD,12,LOW_STOCK,WTC-FIT-007,https://placehold.co/800x800/ef4444/ffffff?text=Watch,https://placehold.co/400x400/ef4444/ffffff?text=Watch,"Health,Fitness","electronics,wearable,fitness,smartwatch,health",true,4.7,634
Portable Bluetooth Speaker,portable-bluetooth-speaker,"Powerful 360-degree sound in a compact, waterproof design. Features 20-hour battery life, USB-C charging, built-in microphone for calls, and True Wireless Stereo pairing. Perfect for outdoor adventures and parties.",Waterproof portable speaker with 360° sound,89.99,119.99,USD,78,IN_STOCK,SPK-BT-008,https://placehold.co/800x800/14b8a6/ffffff?text=Speaker,https://placehold.co/400x400/14b8a6/ffffff?text=Speaker,"Outdoor,Waterproof","electronics,audio,bluetooth,speaker,portable",false,4.6,423
Professional Camera Tripod,professional-camera-tripod,"Sturdy aluminum tripod with fluid head for smooth panning and tilting. Supports cameras up to 15 lbs, extends to 65 inches, and folds to 22 inches for portability. Includes quick-release plate and carrying bag.",Aluminum camera tripod with fluid head,129.99,179.99,USD,45,IN_STOCK,TRP-PRO-009,https://placehold.co/800x800/6366f1/ffffff?text=Tripod,https://placehold.co/400x400/6366f1/ffffff?text=Tripod,"Photography,Professional","photography,tripod,camera,accessories",false,4.8,189
Organic Cotton T-Shirt,organic-cotton-tshirt,"Premium comfort meets sustainability with our 100% organic cotton t-shirt. Soft, breathable fabric with a relaxed fit. Pre-shrunk and machine washable. Available in 8 colors and sizes XS-3XL. GOTS certified organic cotton.",Sustainable 100% organic cotton tee,29.99,39.99,USD,0,OUT_OF_STOCK,TSH-ORG-010,https://placehold.co/800x800/84cc16/ffffff?text=T-Shirt,https://placehold.co/400x400/84cc16/ffffff?text=T-Shirt,"Organic,Sustainable","clothing,tshirt,organic,sustainable,fashion",false,4.7,756
