name,slug,summary,description,price,originalPrice,currency,imageUrl,thumbnailUrl,badges,tags,rating,reviewCount,inventoryStatus,featured,serialNumber,stock,createdAt,updatedAt
Aurora Dashboard Kit,aurora-dashboard-kit,Aurora Dashboard Kit to accelerate modern product teams.,"Aurora Dashboard Kit provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",134.1,141.81,USD,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""New""]","[""React"", ""UX""]",4.48,291,LOW_STOCK,FALSE,FS-2026-001,22,2025-01-02T00:00:00Z,2025-01-02T06:00:00Z
Nimbus Landing Theme,nimbus-landing-theme,Nimbus Landing Theme to accelerate modern product teams.,"Nimbus Landing Theme provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",125.29,132.75,USD,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Astro"", ""Commerce""]",4.38,299,OUT_OF_STOCK,FALSE,FS-2027-002,50,2025-01-03T00:00:00Z,2025-01-03T06:00:00Z
Velocity Ecommerce Stack,velocity-ecommerce-stack,Velocity Ecommerce Stack to accelerate modern product teams.,"Velocity Ecommerce Stack provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",147.88,,USD,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Trending"", ""Limited""]","[""Analytics"", ""Docs""]",3.96,15,PREORDER,FALSE,FS-2028-003,194,2025-01-04T00:00:00Z,2025-01-04T06:00:00Z
Lumen Icon System,lumen-icon-system,Lumen Icon System to accelerate modern product teams.,"Lumen Icon System provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",164.05,206.61,USD,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick""]","[""Astro"", ""Motion""]",3.73,206,IN_STOCK,TRUE,FS-2029-004,24,2025-01-05T00:00:00Z,2025-01-05T06:00:00Z
Pulse Motion Library,pulse-motion-library,Pulse Motion Library to accelerate modern product teams.,"Pulse Motion Library provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",83.62,96.43,USD,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Bestseller""]","[""Analytics"", ""Commerce"", ""UX"", ""Marketing""]",3.7,162,LOW_STOCK,FALSE,FS-2030-005,212,2025-01-06T00:00:00Z,2025-01-06T06:00:00Z
Spectra Design Tokens,spectra-design-tokens,Spectra Design Tokens to accelerate modern product teams.,"Spectra Design Tokens provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",132.16,,USD,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Trending""]","[""Automation"", ""UX""]",3.66,128,OUT_OF_STOCK,FALSE,FS-2031-006,197,2025-01-07T00:00:00Z,2025-01-07T06:00:00Z
Orbit Analytics Pack,orbit-analytics-pack,Orbit Analytics Pack to accelerate modern product teams.,"Orbit Analytics Pack provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",71.09,76.35,USD,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Marketing"", ""Design""]",4.19,198,PREORDER,FALSE,FS-2032-007,41,2025-01-08T00:00:00Z,2025-01-08T06:00:00Z
Canvas Marketing Blocks,canvas-marketing-blocks,Canvas Marketing Blocks to accelerate modern product teams.,"Canvas Marketing Blocks provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",85.63,95.29,USD,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice""]","[""Templates"", ""UX"", ""Docs"", ""React""]",4.29,137,IN_STOCK,TRUE,FS-2033-008,41,2025-01-09T00:00:00Z,2025-01-09T06:00:00Z
Stratus Blog Theme,stratus-blog-theme,Stratus Blog Theme to accelerate modern product teams.,"Stratus Blog Theme provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",102.21,,USD,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice""]","[""Commerce"", ""Astro"", ""Motion"", ""UI""]",3.9,28,LOW_STOCK,FALSE,FS-2034-009,206,2025-01-10T00:00:00Z,2025-01-10T06:00:00Z
Vector Illustration Suite,vector-illustration-suite,Vector Illustration Suite to accelerate modern product teams.,"Vector Illustration Suite provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",75.78,85.66,USD,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Automation"", ""Motion"", ""Astro"", ""Analytics""]",4.11,341,OUT_OF_STOCK,FALSE,FS-2035-010,117,2025-01-11T00:00:00Z,2025-01-11T06:00:00Z
Beacon Notification Center,beacon-notification-center,Beacon Notification Center to accelerate modern product teams.,"Beacon Notification Center provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",44.72,48.83,USD,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Trending"", ""Editor Choice""]","[""Automation"", ""Docs"", ""Marketing""]",4.77,216,PREORDER,FALSE,FS-2036-011,92,2025-01-12T00:00:00Z,2025-01-12T06:00:00Z
Harbor Support KB,harbor-support-kb,Harbor Support KB to accelerate modern product teams.,"Harbor Support KB provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",58.48,,USD,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Analytics"", ""UX"", ""UI"", ""Templates""]",3.8,93,IN_STOCK,TRUE,FS-2037-012,202,2025-01-13T00:00:00Z,2025-01-13T06:00:00Z
Atlas Admin Shell,atlas-admin-shell,Atlas Admin Shell to accelerate modern product teams.,"Atlas Admin Shell provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",141.49,173.88,USD,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Limited""]","[""Analytics"", ""Commerce"", ""Design"", ""Templates""]",4.72,17,LOW_STOCK,FALSE,FS-2038-013,174,2025-01-14T00:00:00Z,2025-01-14T06:00:00Z
